model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
BiLSTM-Hybrid,6,16.627751808638045,17.18731783702077,-23.789137994190682,,22,84754
BiLSTM-Hybrid,12,13.854930956474211,14.791965059393464,-2.6433303845788227,,22,84754
DiffSTG,3,22.452815814828053,22.505568737186344,-57.442379713563774,0.0,22,84754
DiffSTG,6,16.836027869887108,17.823210269798984,-25.657355887116193,0.5,22,84754
DiffSTG,12,12.926160834148911,14.524213238080687,-2.512627070614513,0.75,22,84754
ARIMA,3,2.746560890265132,2.974056368301961,-38.80255076826852,,23,89654
ARIMA,6,7.44720434459322,10.63815412995211,0.020641433044659374,,23,89654
ARIMA,12,13.93772100458981,16.954762665511154,-0.10201029455338428,,23,89654
BiLSTM-Hybrid,3,5.86410890965675,6.103028497105544,-166.6113057641706,,23,89654
BiLSTM-Hybrid,6,19.98831598869967,25.981424816734926,-4.841644153431583,,23,89654
BiLSTM-Hybrid,12,26.091387252096634,32.191540239640894,-2.9726996744685024,,23,89654
DiffSTG,3,9.053049977292218,9.129056480174512,-374.028524981973,1.0,23,89654
DiffSTG,6,19.372087812572687,23.389939174504082,-3.7344262416182765,0.6666666666666666,23,89654
DiffSTG,12,22.441342401244384,28.202608504901633,-2.049163970216117,0.5833333333333334,23,89654
ARIMA,3,5.5655655306638,5.760754247671994,-11.444858563276599,,24,92700
ARIMA,6,5.647865542805299,5.822282029287375,-14.254535612853218,,24,92700
ARIMA,12,7.393436029178772,8.776634850380411,-1.2828199174223753,,24,92700
BiLSTM-Hybrid,3,7.590041784161147,7.765414816291828,-21.613125225906742,,24,92700
BiLSTM-Hybrid,6,6.140017341176997,6.629675226124886,-18.778667121752324,,24,92700
BiLSTM-Hybrid,12,6.979338788956387,7.626727235357244,-0.7238204236356762,,24,92700
DiffSTG,3,7.406902135408218,7.97975727839171,-22.878697333267052,0.0,24,92700
DiffSTG,6,9.730890044848017,10.249589248092938,-46.274335889580044,0.3333333333333333,24,92700
DiffSTG,12,11.879241962218662,13.22567709475929,-4.183838029334644,0.3333333333333333,24,92700
ARIMA,3,6.272481391813531,6.515903324823305,-9.055604348578697,,25,92507
ARIMA,6,9.768765548205721,10.9743496280069,-2.9415532647986065,,25,92507
ARIMA,12,13.885725100031976,15.33635610237044,-3.351149776954646,,25,92507
BiLSTM-Hybrid,3,4.158413305862299,4.291752140741975,-3.3624270510018395,,25,92507
BiLSTM-Hybrid,6,11.136586502284267,14.696712639310737,-6.068873678626487,,25,92507
BiLSTM-Hybrid,12,17.034462291108067,19.76242651772662,-6.225039089037819,,25,92507
DiffSTG,3,3.496934401620154,3.530136079027888,-1.9514933323181447,0.6666666666666666,25,92507
DiffSTG,6,3.8888252734462747,4.001217672969909,0.47604477891497976,0.8333333333333334,25,92507
DiffSTG,12,5.397536420103158,6.1803330975295685,0.29338406008679374,0.9166666666666666,25,92507
ARIMA,3,2.727826218259755,3.3711639923032535,-0.8264771422681798,,26,86798
ARIMA,6,2.679683570856838,3.2889743618693883,0.38088285419836343,,26,86798
ARIMA,12,5.525954257152573,6.716197559868243,0.03283910192109296,,26,86798
BiLSTM-Hybrid,3,11.77157934441378,11.814794770129359,-21.434006770401503,,26,86798
